"","observed","cagr","ets","dynamic","growth_rate","cagr_se","ets_se","dynamic_se","growth_rate_se"
"1",100,NA,NA,NA,NA,NA,NA,NA,NA
"2",102.203823144465,NA,NA,NA,NA,NA,NA,NA,NA
"3",104.799834705684,NA,NA,NA,NA,NA,NA,NA,NA
"4",106.269703480739,NA,NA,NA,NA,NA,NA,NA,NA
"5",108.264173559136,NA,NA,NA,NA,NA,NA,NA,NA
"6",111.110123913154,NA,NA,NA,NA,NA,NA,NA,NA
"7",113.429935477187,NA,NA,NA,NA,NA,NA,NA,NA
"8",116.09769867991,NA,NA,NA,NA,NA,NA,NA,NA
"9",117.29797658948,NA,NA,NA,NA,NA,NA,NA,NA
"10",117.054340200095,NA,NA,NA,NA,NA,NA,NA,NA
"11",118.052366488952,119.120397728274,120.932248364257,NA,116.684678268501,1.14069072816677,8.29371961570527,NA,1.8705710683619
"12",118.883196480264,120.027888771782,118.914753264175,NA,117.35237617484,1.31032044226183,0.000995830610833368,NA,2.34341080749817
"13",120.259371832172,120.76736974217,119.714811384092,NA,119.197235975371,0.258061876562506,0.296546081613019,NA,1.12813257830211
"14",122.054096660197,122.122450036667,121.389857015872,NA,120.711121240231,0.00467218407480489,0.441214305093598,NA,1.80358297863288
"15",124.593708974524,123.939641240824,123.564854822533,NA,124.364842601404,0.427804600267626,1.05854086607075,NA,0.0523798167452652
"16",128.297471762791,126.566061350838,126.937755037607,NA,127.910906989801,2.99778201461845,1.84882957274495,NA,0.149432323716766
"17",130.101433622033,130.446562187056,131.781536614573,NA,130.723312292131,0.119113726394955,2.82274606554401,NA,0.386733080323315
"18",131.893507763207,132.258840914811,132.410687495809,NA,134.301654672222,0.133468311661289,0.267474875814117,NA,5.79917153539967
"19",133.126408857079,134.058817558223,133.861151620754,NA,135.69970921698,0.869385985968084,0.53984692877282,NA,6.62187474226704
"20",134.774258956064,135.259502119611,134.515297404358,NA,134.440785201108,0.235460927769608,0.0670610852617112,NA,0.111204745244115
"21",137.341484896433,136.907856551156,136.361643480394,NA,135.612754967819,0.188033541827066,0.960089200583797,NA,2.98850716608567
"22",140.112131717642,139.537785224673,139.225762286981,NA,139.761661516104,0.329873893985658,0.785650767609711,NA,0.122829362166128
"23",141.885446504037,142.380585955316,142.243873473761,NA,149.375241185268,0.245163076212913,0.128469892625575,NA,56.0970243669913
