"","observed","cagr","ets","dynamic","growth_rate","cagr_se","ets_se","dynamic_se","growth_rate_se"
"1",100,NA,NA,NA,NA,NA,NA,NA,NA
"2",102.211221112989,NA,NA,NA,NA,NA,NA,NA,NA
"3",105.31180332141,NA,NA,NA,NA,NA,NA,NA,NA
"4",103.309814142027,NA,NA,NA,NA,NA,NA,NA,NA
"5",101.646010150451,NA,NA,NA,NA,NA,NA,NA,NA
"6",98.1546129748145,NA,NA,NA,NA,NA,NA,NA,NA
"7",98.4480690951175,NA,NA,NA,NA,NA,NA,NA,NA
"8",98.7034774135155,NA,NA,NA,NA,NA,NA,NA,NA
"9",95.9761750194492,NA,NA,NA,NA,NA,NA,NA,NA
"10",93.4687805095569,NA,NA,NA,NA,NA,NA,NA,NA
"11",92.4555789994652,92.7699467239787,96.5655525263341,NA,91.5082444959677,0.0988270662157884,16.8918823915634,NA,0.897442661516938
"12",88.9138720496656,91.7331770532313,93.1311572209446,NA,87.3570873568384,7.94848070313061,17.7854942158893,NA,2.42357857982124
"13",86.9441752299138,87.9691487016781,88.7824465947985,NA,86.8062133056984,1.05057061782056,3.37924161095513,NA,0.019033492533205
"14",86.226261635996,85.9364085467626,87.4640966455331,NA,87.2022451475663,0.0840148133381475,1.53223551083594,NA,0.952543814857105
"15",90.3946697133874,85.2488942004024,85.3696646178201,NA,88.8544909173166,26.4790056300357,25.2506762104771,NA,2.37215072386603
"16",95.7701783068374,89.7449803301676,87.5645910165727,NA,91.111359291796,36.3030106580655,67.3316627781529,NA,21.7045946149113
"17",94.2731042104057,95.4946370450126,96.6726951959507,NA,94.5293185487871,1.49214246602274,5.75803689790884,NA,0.0656457871922173
"18",92.2742560544759,93.9262634477582,94.2323038547267,NA,95.6279121955932,2.72912842745958,3.83395118806709,NA,11.2470095128538
"19",92.8192795123301,91.8388564339727,91.9958748906451,NA,95.8595275247187,0.961229412575892,0.677995171012148,NA,9.24310797683259
"20",95.3072944116242,92.4358235356013,92.2118638593591,NA,94.3805285412944,8.24534499184795,9.58169030389648,NA,0.858894978408209
"21",96.918360268792,95.0665025640492,94.9113038899357,NA,95.5879176446159,3.42937695861553,4.02827530790784,NA,1.77007757622474
"22",101.226491731244,96.7667958129869,96.7237688132928,NA,97.476246793995,19.8888876833214,20.2745136758458,NA,14.0643370893641
"23",102.514697123515,101.285269864849,102.360777342273,NA,106.438886851773,1.5114913843501,0.0236912990576101,NA,15.3992650233707
