"","observed","cagr","ets","dynamic","growth_rate","cagr_se","ets_se","dynamic_se","growth_rate_se"
"1",100,NA,NA,NA,NA,NA,NA,NA,NA
"2",104.727563776935,NA,NA,NA,NA,NA,NA,NA,NA
"3",108.419561511633,NA,NA,NA,NA,NA,NA,NA,NA
"4",114.48027176788,NA,NA,NA,NA,NA,NA,NA,NA
"5",121.487994648874,NA,NA,NA,NA,NA,NA,NA,NA
"6",127.045957097959,NA,NA,NA,NA,NA,NA,NA,NA
"7",136.015029547984,NA,NA,NA,NA,NA,NA,NA,NA
"8",143.934529690027,NA,NA,NA,NA,NA,NA,NA,NA
"9",153.905466615853,NA,NA,NA,NA,NA,NA,NA,NA
"10",162.469022492339,NA,NA,NA,NA,NA,NA,NA,NA
"11",169.553635571215,171.470541543232,171.956344568922,166.682925213312,167.499439372768,3.67452850555244,5.77301052766427,8.24097795896925,4.21972202171254
"12",179.50071858095,178.746611240069,177.797510932114,176.982670937774,177.262702467477,0.568677881570365,2.90091629505273,6.3405639333058,5.00871612416661
"13",189.328532010233,189.305450327061,187.686566039609,184.529557082995,184.46855769031,0.000532764098037919,2.69605224868619,23.0301603522586,23.6193503903058
"14",193.502967326069,199.672109634915,198.490510815741,194.120553133616,191.679153984333,38.0583168268022,24.8755900613732,0.38141222968343,3.32629510549169
"15",200.205917747497,203.582537764031,202.219789560762,198.646987491981,196.994069961233,11.4015627360559,4.05567968026571,2.43026354156275,10.3159662021293
"16",207.457508239006,210.383160652563,206.250847838142,207.589742125434,207.51426385732,8.55944204494909,1.45602932301422,0.0174858007197547,0.0032212002102125
"17",214.279728240887,217.799946023373,213.291700972207,213.770531782761,212.623103386965,12.3919332361324,0.976197883655906,0.259281032967961,2.74440590663212
"18",224.60847390807,224.733287473331,220.50056484554,222.763724361908,223.90045701425,0.0155784260732631,16.8749168660132,3.40310088806409,0.501287921934322
"19",233.028906288013,235.558219385839,232.760902829065,231.601186108919,230.999351510144,6.3974247468308,0.071825854008177,2.03838490979357,4.11909259637208
"20",240.256642863432,244.242621238365,242.515443446126,239.505705338128,238.332910236243,15.8880236054325,5.10218007237693,0.563907166910224,3.700747220914
"21",248.056873425023,251.600182576795,248.789289932262,245.801962835512,243.639610614324,12.5550397450329,0.536433940075856,5.08462176668852,19.5122107387873
"22",251.014759020244,259.584542962558,255.827975870676,254.046794102841,251.625841597844,73.4411968179471,23.1670564492799,9.19323674209929,0.373421916645706
"23",257.646147693401,262.26030117475,256.528797240985,257.142541294691,255.692735981945,21.290412349447,1.24847203351479,0.253619404821618,3.81581731445246
