"","observed","cagr","ets","dynamic","growth_rate","cagr_se","ets_se","dynamic_se","growth_rate_se"
"1",100,NA,NA,NA,NA,NA,NA,NA,NA
"2",101.619161186785,NA,NA,NA,NA,NA,NA,NA,NA
"3",104.645930853539,NA,NA,NA,NA,NA,NA,NA,NA
"4",109.485346176956,NA,NA,NA,NA,NA,NA,NA,NA
"5",113.443353147835,NA,NA,NA,NA,NA,NA,NA,NA
"6",119.783447374488,NA,NA,NA,NA,NA,NA,NA,NA
"7",126.623783396008,NA,NA,NA,NA,NA,NA,NA,NA
"8",131.752924079608,NA,NA,NA,NA,NA,NA,NA,NA
"9",136.216188387129,NA,NA,NA,NA,NA,NA,NA,NA
"10",138.933450996554,NA,NA,NA,NA,NA,NA,NA,NA
"11",142.339892921554,144.103406783804,144.354598269174,141.396363369786,141.669545073058,3.10998114234879,4.05903763772935,0.890248015058977,0.449366237982978
"12",147.48193174829,147.454930323583,148.424670469436,147.907995231127,148.346258869275,0.000729076936197553,0.88875629634813,0.181530091407735,0.747061372070752
"13",152.474599127289,152.784293381438,152.853315511456,152.070690678738,152.87247725409,0.0959105310532096,0.143426099636446,0.163142034810549,0.158307003786721
"14",153.700527279054,157.929753884679,157.413512886805,151.763891906204,151.472357490255,17.8863576817208,13.7862621233658,3.75055656737504,4.96474060771782
"15",150.527665457221,158.867477641751,157.834750289758,153.847970118371,151.616327728967,69.552467273232,53.3934887498983,11.0244230428524,1.18518554192388
"16",150.853382581605,154.989831681597,147.355307182684,151.609867112447,151.765289272483,17.1102111568277,12.2365314965304,0.572268845403351,0.831573812868113
"17",150.217315628292,155.045341873014,151.177959777356,152.427109709691,152.732784462553,23.3098374197249,0.922837181130068,4.88318988218264,6.32758345613818
"18",153.753345220412,154.086644127156,149.624855983305,151.875430908894,152.805414590705,0.111088161236958,17.0444233809072,3.52656216140273,0.898572478736068
"19",155.817915547995,157.693667713306,156.877733105042,153.591414852184,153.560181446519,3.51844618566906,1.12321325422684,4.95730534844312,5.09736327296503
"20",155.349911457773,159.704942371372,158.008904507276,156.140931627349,155.813729892248,18.9662942584054,7.0702440373097,0.625712908676675,0.215127540159079
"21",155.762233928152,158.993734599086,155.288694695896,154.70554950111,154.650005566397,10.4425965862458,0.224239404485765,1.11658197835272,1.23705192869285
"22",157.164588861507,159.252139455371,156.101920239065,156.763249387582,156.852933186806,4.3578674819437,1.12926460112369,0.161073373330229,0.0971292595733361
"23",159.936473861047,160.584980981844,158.37954660505,162.446316173108,163.252895250839,0.420561485724202,2.42402248046718,6.2993084314129,10.9986508346665
